2023-04-19 09:33:41 INFO  Log:10 - ******************************
2023-04-19 09:33:41 INFO  Log:11 - ******************************
2023-04-19 09:33:41 INFO  Log:12 - *********This is the beginning of my test case********
2023-04-19 09:33:41 INFO  Log:22 - My test case is executing right now
2023-04-19 09:33:41 INFO  Log:26 - My test case might have some trivial issues
2023-04-19 09:33:48 INFO  Log:22 - This test case is about to get completed
2023-04-19 09:33:48 INFO  Log:16 - ******************************
2023-04-19 09:33:48 INFO  Log:17 - ******************************
2023-04-19 09:33:48 INFO  Log:18 - *********This test case is finished********
2023-04-19 09:46:43 INFO  Log:10 - ******************************
2023-04-19 09:46:43 INFO  Log:11 - ******************************
2023-04-19 09:46:43 INFO  Log:12 - *********This is the beginning of my test case********
2023-04-19 09:46:43 INFO  Log:22 - My test case is executing right now
2023-04-19 09:46:43 INFO  Log:26 - My test case might have some trivial issues
2023-04-19 09:46:49 INFO  Log:22 - This test case is about to get completed
2023-04-19 09:46:49 INFO  Log:16 - ******************************
2023-04-19 09:46:49 INFO  Log:17 - ******************************
2023-04-19 09:46:49 INFO  Log:18 - *********This test case is finished********
2023-05-13 11:27:45  INFO  Log:10 - ******************************
2023-05-13 11:27:45  INFO  Log:11 - ******************************
2023-05-13 11:27:45  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:27:45  INFO  Log:22 - My test case is executing right now
2023-05-13 11:27:45  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:27:45  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:27:45  INFO  Log:16 - ******************************
2023-05-13 11:27:45  INFO  Log:17 - ******************************
2023-05-13 11:27:45  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:29:45  INFO  Log:10 - ******************************
2023-05-13 11:29:45  INFO  Log:11 - ******************************
2023-05-13 11:29:45  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:29:45  INFO  Log:22 - My test case is executing right now
2023-05-13 11:29:45  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:29:45  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:29:45  INFO  Log:16 - ******************************
2023-05-13 11:29:45  INFO  Log:17 - ******************************
2023-05-13 11:29:45  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:32:59  INFO  Log:10 - ******************************
2023-05-13 11:32:59  INFO  Log:11 - ******************************
2023-05-13 11:32:59  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:32:59  INFO  Log:22 - My test case is executing right now
2023-05-13 11:32:59  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:32:59  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:32:59  INFO  Log:16 - ******************************
2023-05-13 11:32:59  INFO  Log:17 - ******************************
2023-05-13 11:32:59  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:35:54  INFO  Log:10 - ******************************
2023-05-13 11:35:54  INFO  Log:11 - ******************************
2023-05-13 11:35:54  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:35:54  INFO  Log:22 - My test case is executing right now
2023-05-13 11:35:54  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:35:55  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:35:55  INFO  Log:16 - ******************************
2023-05-13 11:35:55  INFO  Log:17 - ******************************
2023-05-13 11:35:55  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:38:04  INFO  Log:10 - ******************************
2023-05-13 11:38:04  INFO  Log:11 - ******************************
2023-05-13 11:38:04  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:38:04  INFO  Log:22 - My test case is executing right now
2023-05-13 11:38:04  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:38:04  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:38:04  INFO  Log:16 - ******************************
2023-05-13 11:38:04  INFO  Log:17 - ******************************
2023-05-13 11:38:04  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:40:36  INFO  Log:10 - ******************************
2023-05-13 11:40:36  INFO  Log:11 - ******************************
2023-05-13 11:40:36  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:40:36  INFO  Log:22 - My test case is executing right now
2023-05-13 11:40:36  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:40:36  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:40:36  INFO  Log:16 - ******************************
2023-05-13 11:40:36  INFO  Log:17 - ******************************
2023-05-13 11:40:36  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:40:43  INFO  Log:10 - ******************************
2023-05-13 11:40:43  INFO  Log:11 - ******************************
2023-05-13 11:40:43  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:40:43  INFO  Log:22 - My test case is executing right now
2023-05-13 11:40:43  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:40:43  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:40:43  INFO  Log:16 - ******************************
2023-05-13 11:40:43  INFO  Log:17 - ******************************
2023-05-13 11:40:43  INFO  Log:18 - *********This test case is finished********
2023-05-13 11:41:36  INFO  Log:10 - ******************************
2023-05-13 11:41:36  INFO  Log:11 - ******************************
2023-05-13 11:41:36  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-13 11:41:36  INFO  Log:22 - My test case is executing right now
2023-05-13 11:41:36  INFO  Log:26 - My test case might have some trivial issues
2023-05-13 11:41:44  INFO  Log:22 - This test case is about to get completed
2023-05-13 11:41:44  INFO  Log:16 - ******************************
2023-05-13 11:41:44  INFO  Log:17 - ******************************
2023-05-13 11:41:44  INFO  Log:18 - *********This test case is finished********
2023-05-29 20:46:01  INFO  Log:10 - ******************************
2023-05-29 20:46:01  INFO  Log:11 - ******************************
2023-05-29 20:46:01  INFO  Log:12 - *********This is the beginning of my test case********
2023-05-29 20:46:01  INFO  Log:22 - My test case is executing right now
2023-05-29 20:46:01  INFO  Log:26 - My test case might have some trivial issues
2023-05-29 20:46:03  INFO  Log:22 - This test case is about to get completed
2023-05-29 20:46:03  INFO  Log:16 - ******************************
2023-05-29 20:46:03  INFO  Log:17 - ******************************
2023-05-29 20:46:03  INFO  Log:18 - *********This test case is finished********
2023-06-02 21:24:50  INFO  Log:10 - ******************************
2023-06-02 21:24:50  INFO  Log:11 - ******************************
2023-06-02 21:24:50  INFO  Log:12 - *********This is the beginning of my test case********
2023-06-02 21:24:50  INFO  Log:22 - My test case is executing right now
2023-06-02 21:24:50  INFO  Log:26 - My test case might have some trivial issues
2023-06-02 21:24:57  INFO  Log:22 - This test case is about to get completed
2023-06-02 21:24:57  INFO  Log:16 - ******************************
2023-06-02 21:24:57  INFO  Log:17 - ******************************
2023-06-02 21:24:57  INFO  Log:18 - *********This test case is finished********
2023-06-02 21:24:58  INFO  Log:10 - ******************************
2023-06-02 21:24:58  INFO  Log:11 - ******************************
2023-06-02 21:24:58  INFO  Log:12 - *********This is the beginning of my test case********
2023-06-02 21:24:58  INFO  Log:22 - My test case is executing right now
2023-06-02 21:24:58  INFO  Log:26 - My test case might have some trivial issues
2023-06-02 21:25:00  INFO  Log:22 - This test case is about to get completed
2023-06-02 21:25:00  INFO  Log:16 - ******************************
2023-06-02 21:25:00  INFO  Log:17 - ******************************
2023-06-02 21:25:00  INFO  Log:18 - *********This test case is finished********
